"","Treatment_pair","q","raoQ_gamma","FD_gamma","FD_alpha","FD_beta","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"116","Cold_Diet",1,5.0816838972716,898.46866875948,339.257109379873,2.64834146114665,0.297455426740206,0.297455426740206,"S28","CR","Cold_Diet_CR",0.702544573259794
"117","Day_Acc1",1,5.38311576492724,304.706904911819,118.758245998385,2.56577471610657,0.320302748812739,0.320302748812739,"S31","CR","Day_Acc_CR",0.679697251187261
"118","Acc_Heat",1,4.48029463761946,774.959101979065,428.447147490723,1.80876242616563,0.572498535959868,0.572498535959868,"S31","CR","Acc_Heat_CR",0.427501464040132
"119","Heat_Cold",1,5.7173237229394,1146.73584161596,456.863888308099,2.51001637678711,0.336151611411485,0.336151611411485,"S31","CR","Heat_Cold_CR",0.663848388588515
"120","Cold_Diet",1,5.47778953921409,611.241360317381,257.896247945959,2.37010567305913,0.377524307864462,0.377524307864462,"S31","CR","Cold_Diet_CR",0.622475692135538
"121","Day_Acc1",1,5.2189228998042,874.530690145072,328.960155373603,2.65846995710426,0.294701918563482,0.294701918563482,"S35","CR","Day_Acc_CR",0.705298081436518
"122","Acc_Heat",1,5.27606568870604,1682.80462287795,815.919350102743,2.06246441228051,0.477815387028502,0.477815387028502,"S35","CR","Acc_Heat_CR",0.522184612971498
"123","Heat_Cold",1,5.31158299806696,1230.63605358443,425.935437987977,2.88925490538585,0.234651254138538,0.234651254138538,"S35","CR","Heat_Cold_CR",0.765348745861462
"124","Cold_Diet",1,5.08770116699462,736.050026178031,389.318808298663,1.89060998464111,0.540574110333236,0.540574110333236,"S35","CR","Cold_Diet_CR",0.459425889666764
"125","Day_Acc1",1,5.27468404048113,1168.0702908559,450.370852841191,2.59357434764496,0.31252913663741,0.31252913663741,"S36","CR","Day_Acc_CR",0.68747086336259
"126","Acc_Heat",1,5.74203928844418,2142.4157929274,1329.75126279636,1.61114025823301,0.655958953148725,0.655958953148725,"S36","CR","Acc_Heat_CR",0.344041046851275
"127","Heat_Cold",1,5.86289757750768,2310.06623882924,1284.19691463104,1.79884113760929,0.576466108790704,0.576466108790704,"S36","CR","Heat_Cold_CR",0.423533891209296
"128","Cold_Diet",1,5.38496865493554,1447.04035412187,645.216879082901,2.24271931041027,0.417375465048492,0.417375465048492,"S36","CR","Cold_Diet_CR",0.582624534951508
"129","Day_Acc1",1,6.01196920499093,2750.3377638889,1297.68153969323,2.11942428073614,0.458163787447,0.458163787447,"S5","CR","Day_Acc_CR",0.541836212553
"130","Acc_Heat",1,6.06036962239763,2843.57472148884,1946.71711460405,1.46070258496043,0.726668770231937,0.726668770231937,"S5","CR","Acc_Heat_CR",0.273331229768063
"131","Heat_Cold",1,5.82462574940852,1787.61255485108,1005.11453871191,1.7785162645662,0.584662916032699,0.584662916032699,"S5","CR","Heat_Cold_CR",0.415337083967301
"132","Cold_Diet",1,5.63768878079278,1710.76514070454,719.041295198946,2.37923072308552,0.374752408903832,0.374752408903832,"S5","CR","Cold_Diet_CR",0.625247591096168
"133","Day_Acc1",1,5.269562469323,1320.48173738769,664.448246853389,1.9873357234985,0.504582195132127,0.504582195132127,"S6","CR","Day_Acc_CR",0.495417804867873
"134","Acc_Heat",1,5.6825860843072,1771.4728051641,1237.23524795113,1.43179949657728,0.741085261222122,0.741085261222122,"S6","CR","Acc_Heat_CR",0.258914738777878
"135","Heat_Cold",1,5.6809125836336,2004.16407256492,1120.79507214125,1.78816281618372,0.580760948460109,0.580760948460109,"S6","CR","Heat_Cold_CR",0.419239051539891
"136","Cold_Diet",1,5.83226950009707,2322.84519281053,1128.40812062977,2.0585151332606,0.479197972634272,0.479197972634272,"S6","CR","Cold_Diet_CR",0.520802027365728
"137","Day_Acc1",1,5.42764453799857,1320.42072123171,747.006996238248,1.76761493249867,0.589097988054067,0.589097988054067,"S9","CR","Day_Acc_CR",0.410902011945933
"138","Acc_Heat",1,5.25386372720383,906.694668159282,639.060874249765,1.41879233214474,0.747668280815253,0.747668280815253,"S9","CR","Acc_Heat_CR",0.252331719184747
"139","Heat_Cold",1,5.74748993284142,1954.75672588889,926.853531817427,2.10902441301151,0.461712102427847,0.461712102427847,"S9","CR","Heat_Cold_CR",0.538287897572153
"140","Cold_Diet",1,5.47552876763251,1687.93097759922,689.957111229776,2.44642884336776,0.354661339365267,0.354661339365267,"S9","CR","Cold_Diet_CR",0.645338660634733
