"","Treatment_pair","q","TD_gamma","TD_alpha","TD_beta","M_homog","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"67","Heat_Cold",1,1.99266436278166,1.73758810295945,1.14679903677273,0.871992361289517,0.977241423332832,0.977241423332832,"M9","AS","Heat_Cold_AS",0.0227585766671683
"68","Cold_Diet",1,1.99765430757148,1.59416548758452,1.25310347208578,0.798018696999944,0.962512294162217,0.962512294162217,"M9","AS","Cold_Diet_AS",0.0374877058377829
"69","Day_Acc",1,1.98323512673612,1.43673451800885,1.38037689070397,0.724439829972822,0.919188302754681,0.919188302754681,"S10","CR","Day_Acc_CR",0.0808116972453193
"70","Acc_Heat",1,1.97514850256136,1.4669790385011,1.34640540234269,0.742718350847406,0.925084003192236,0.925084003192236,"S10","CR","Acc_Heat_CR",0.0749159968077637
"71","Heat_Cold",1,1.99999287446421,1.52515056294344,1.31134126889372,0.762577998360128,0.93205024646958,0.93205024646958,"S10","CR","Heat_Cold_CR",0.06794975353042
"72","Cold_Diet",1,1.9269217779909,1.56717207452766,1.22955341618862,0.813303421253389,0.948194571656721,0.948194571656721,"S10","CR","Cold_Diet_CR",0.0518054283432787
"73","Day_Acc",1,1.9494467163054,1.33727018505467,1.45778073727539,0.685974217130219,0.905510969228999,0.905510969228999,"S11","CR","Day_Acc_CR",0.0944890307710007
"74","Acc_Heat",1,1.99891845714021,1.46850892700365,1.36118917657437,0.734651742174914,0.922697431569493,0.922697431569493,"S11","CR","Acc_Heat_CR",0.0773025684305065
"75","Heat_Cold",1,1.96761283519589,1.47896106014083,1.33040205602744,0.751652476384456,0.928432605650108,0.928432605650108,"S11","CR","Heat_Cold_CR",0.0715673943498923
"76","Cold_Diet",1,1.98953020731453,1.51384668308185,1.31422173034346,0.760906608764307,0.931500189724843,0.931500189724843,"S11","CR","Cold_Diet_CR",0.0684998102751566
"77","Day_Acc",1,1.8943746772748,1.54630910753572,1.22509443166494,0.81626360723962,0.949105354714587,0.949105354714587,"S12","CR","Day_Acc_CR",0.0508946452854127
"78","Acc_Heat",1,1.82808829964528,1.48581669202425,1.23035924246801,0.81277074652934,0.948030327680361,0.948030327680361,"S12","CR","Acc_Heat_CR",0.0519696723196392
"79","Heat_Cold",1,1.92683559453885,1.43801311653323,1.33992908158173,0.746308154473026,0.926643805802738,0.926643805802738,"S12","CR","Heat_Cold_CR",0.0733561941972619
"80","Cold_Diet",1,1.98565086276727,1.67059003150602,1.18859254833289,0.84133120420668,0.956688251285732,0.956688251285732,"S12","CR","Cold_Diet_CR",0.0433117487142681
"81","Day_Acc",1,1.99285670350711,1.58161791470017,1.26001146356824,0.793643573025986,0.94206022979934,0.94206022979934,"S13","CR","Day_Acc_CR",0.0579397702006597
"82","Acc_Heat",1,1.97039168371488,1.60735640076705,1.22585861030857,0.815754762899025,0.948949030010215,0.948949030010215,"S13","CR","Acc_Heat_CR",0.0510509699897845
"83","Heat_Cold",1,1.99929930841958,1.55953203763,1.28198668586372,0.780039302300758,0.9377257542013,0.9377257542013,"S13","CR","Heat_Cold_CR",0.0622742457986999
"84","Cold_Diet",1,1.98343592936339,1.55795386050548,1.27310312560852,0.785482322590338,0.939468966689229,0.939468966689229,"S13","CR","Cold_Diet_CR",0.0605310333107711
"85","Day_Acc",1,1.95329681989949,1.38158240600283,1.41381130174547,0.707307968726391,0.913188645389656,0.913188645389656,"S14","CR","Day_Acc_CR",0.0868113546103441
"86","Acc_Heat",1,1.99144832943184,1.44413809636316,1.37898746279666,0.725169754605271,0.919440763988865,0.919440763988865,"S14","CR","Acc_Heat_CR",0.0805592360111353
"87","Heat_Cold",1,1.94848916370399,1.45466307198142,1.3394779871946,0.746559487770605,0.926728216293425,0.926728216293425,"S14","CR","Heat_Cold_CR",0.0732717837065749
"88","Cold_Diet",1,1.99871061217669,1.53877386007911,1.29889820982138,0.769883269095824,0.934440355952607,0.934440355952607,"S14","CR","Cold_Diet_CR",0.0655596440473935
"89","Day_Acc",1,1.90945163431818,1.39840103449569,1.36545353386898,0.73235740008415,0.921545659745447,0.921545659745447,"S16","CR","Day_Acc_CR",0.0784543402545526
"90","Acc_Heat",1,1.92899917313896,1.48066281935209,1.30279436204324,0.767580847089057,0.933377325244322,0.933377325244322,"S16","CR","Acc_Heat_CR",0.0666226747556782
"91","Heat_Cold",1,1.9414206948991,1.52538879200407,1.27273827176115,0.785707495553071,0.939256179613799,0.939256179613799,"S16","CR","Heat_Cold_CR",0.0607438203862009
"92","Cold_Diet",1,1.99160177405836,1.69879020990665,1.17236475842876,0.852976851112644,0.96013449334326,0.96013449334326,"S16","CR","Cold_Diet_CR",0.0398655066567397
"93","Day_Acc",1,1.99876745632355,1.56209205990265,1.27954523784476,0.781527663441097,0.938203630550459,0.938203630550459,"S18","CR","Day_Acc_CR",0.0617963694495414
"94","Acc_Heat",1,1.99835229279886,1.73535203053271,1.1515544152649,0.868391442683116,0.964624402229177,0.964624402229177,"S18","CR","Acc_Heat_CR",0.0353755977708234
"95","Heat_Cold",1,1.9936396935443,1.4845019086743,1.34296876406489,0.744618956715871,0.926075748737037,0.926075748737037,"S18","CR","Heat_Cold_CR",0.0739242512629633
"96","Cold_Diet",1,1.96977276450456,1.58206014859965,1.24506818925191,0.803168861458781,0.945051096634725,0.945051096634725,"S18","CR","Cold_Diet_CR",0.0549489033652746
"97","Day_Acc",1,1.99721111728727,1.49423867999947,1.3366078284682,0.748162608882844,0.92726595802531,0.92726595802531,"S19","CR","Day_Acc_CR",0.0727340419746901
"98","Acc_Heat",1,1.99602974443437,1.54786284425026,1.28953915513179,0.775470830816145,0.936253214479049,0.936253214479049,"S19","CR","Acc_Heat_CR",0.0637467855209513
"99","Heat_Cold",1,1.94849492013363,1.44066982188167,1.35249235497186,0.739375713529123,0.924304265025475,0.924304265025475,"S19","CR","Heat_Cold_CR",0.0756957349745245
"100","Cold_Diet",1,1.99935307881368,1.52801229363246,1.30846661845942,0.764253352659005,0.93260039944488,0.93260039944488,"S19","CR","Cold_Diet_CR",0.0673996005551203
"101","Day_Acc",1,1.90628918139023,1.55346928679645,1.2271173930457,0.814917957863837,0.948691738643983,0.948691738643983,"S2","CR","Day_Acc_CR",0.0513082613560171
"102","Acc_Heat",1,1.93063060808343,1.42064168876297,1.35898490333937,0.735843347150322,0.923103721932,0.923103721932,"S2","CR","Acc_Heat_CR",0.0768962780679997
"103","Heat_Cold",1,1.96623890332296,1.46194155869533,1.34495041311889,0.743521835634844,0.925706109288697,0.925706109288697,"S2","CR","Heat_Cold_CR",0.0742938907113034
"104","Cold_Diet",1,1.98430808524245,1.55297249766717,1.27774837495398,0.782626704601376,0.938555922008824,0.938555922008824,"S2","CR","Cold_Diet_CR",0.061444077991176
"105","Day_Acc",1,1.9684166073365,1.52947008935278,1.28699254796769,0.777005276043842,0.936748772264546,0.936748772264546,"S23","CR","Day_Acc_CR",0.0632512277354536
"106","Acc_Heat",1,1.98178570479285,1.63823640375944,1.20970679216079,0.826646594431194,0.95227406089027,0.95227406089027,"S23","CR","Acc_Heat_CR",0.0477259391097304
"107","Heat_Cold",1,1.65906260971051,1.36722995280701,1.21344811551587,0.824097863941118,0.951499934081537,0.951499934081537,"S23","CR","Heat_Cold_CR",0.0485000659184631
"108","Cold_Diet",1,1.96675381669035,1.64518361543471,1.19546158753269,0.83649697357813,0.955243647395989,0.955243647395989,"S23","CR","Cold_Diet_CR",0.0447563526040115
"109","Day_Acc1",1,1.98833028101755,1.46326825829756,1.35882827345061,0.735928166596506,0.923132616934498,0.923132616934498,"S24","CR","Day_Acc_CR",0.0768673830655023
"110","Acc_Heat",1,1.99839454031394,1.51596413646476,1.31823338840602,0.758591011876267,0.930410029257834,0.930410029257834,"S24","CR","Acc_Heat_CR",0.069589970742166
